Symbol,tDate,Price
ADSK,2021-12-17,277.65
ADSK,2021-12-20,275.12
ADSK,2021-12-21,280.42
ADSK,2021-12-22,282.61
ADSK,2021-12-23,280.99
ADSK,2021-12-27,284.3
ADSK,2021-12-28,282.77
ADSK,2021-12-29,282.57
ADSK,2021-12-30,281.71
AEE,2021-12-16,88.66
AEE,2021-12-17,86.41
AEE,2021-12-20,86.4
AEE,2021-12-21,87.18
AEE,2021-12-22,87.06
AEE,2021-12-23,87.02
AEE,2021-12-27,87.55
AEE,2021-12-28,88.42
AEE,2021-12-29,88.91
AEE,2021-12-30,89.06
AEP,2021-12-16,88.0
AEP,2021-12-17,86.54
AEP,2021-12-20,87.23
AEP,2021-12-21,86.75
AEP,2021-12-22,86.62
AEP,2021-12-23,86.52
AEP,2021-12-27,87.08
AEP,2021-12-28,88.21
AEP,2021-12-29,88.58
AEP,2021-12-30,88.69
AES,2021-12-16,24.06
AES,2021-12-17,24.09
AES,2021-12-20,23.22
AES,2021-12-21,23.71
AES,2021-12-22,23.57
AES,2021-12-23,23.55
AES,2021-12-27,23.67
AES,2021-12-28,23.74
AES,2021-12-29,23.78
AES,2021-12-30,24.17
AFL,2021-12-16,57.9
AFL,2021-12-17,56.84
AFL,2021-12-20,55.36
AFL,2021-12-21,56.84
AFL,2021-12-22,57.18
AFL,2021-12-23,57.69
AFL,2021-12-27,58.2
AFL,2021-12-28,58.49
AFL,2021-12-29,58.79
AFL,2021-12-30,58.56
AIG,2021-12-16,55.28
AIG,2021-12-17,54.11
AIG,2021-12-20,52.91
AIG,2021-12-21,55.14
AIG,2021-12-22,55.27
AIG,2021-12-23,56.57
AIG,2021-12-27,56.9
AIG,2021-12-28,56.67
AIG,2021-12-29,56.78
AIG,2021-12-30,56.74
AIZ,2021-12-16,153.79
AIZ,2021-12-17,150.58
AIZ,2021-12-20,147.55
AIZ,2021-12-21,151.27
AIZ,2021-12-22,151.7
AIZ,2021-12-23,152.28
AIZ,2021-12-27,153.36
AIZ,2021-12-28,153.84
AIZ,2021-12-29,154.69
AIZ,2021-12-30,154.79
AJG,2021-12-16,166.05
AJG,2021-12-17,164.4
AJG,2021-12-20,164.26
AJG,2021-12-21,163.97
AJG,2021-12-22,165.22
AJG,2021-12-23,166.45
AJG,2021-12-27,170.44
AJG,2021-12-28,169.32
AJG,2021-12-29,169.81
AJG,2021-12-30,168.76
AKAM,2021-12-16,116.83
AKAM,2021-12-17,115.35
AKAM,2021-12-20,114.07
AKAM,2021-12-21,115.8
AKAM,2021-12-22,116.06
AKAM,2021-12-23,116.2
AKAM,2021-12-27,117.92
AKAM,2021-12-28,118.45
AKAM,2021-12-29,118.33
AKAM,2021-12-30,117.15
ALB,2021-12-16,230.92
ALB,2021-12-17,229.87
ALB,2021-12-20,218.13
ALB,2021-12-21,224.15
ALB,2021-12-22,225.23
ALB,2021-12-23,227.9
ALB,2021-12-27,233.1
ALB,2021-12-28,232.8
ALB,2021-12-29,232.53
ALB,2021-12-30,234.35
ALGN,2021-12-16,595.06
ALGN,2021-12-17,609.06
ALGN,2021-12-20,593.94
ALGN,2021-12-21,628.72
ALGN,2021-12-22,645.89
ALGN,2021-12-23,653.98
ALGN,2021-12-27,661.07
ALGN,2021-12-28,656.37
ALGN,2021-12-29,653.34
ALGN,2021-12-30,662.22
ALK,2021-12-16,49.22
ALK,2021-12-17,50.03
ALK,2021-12-20,49.34
ALK,2021-12-21,52.07
ALK,2021-12-22,52.19
ALK,2021-12-23,53.02
ALK,2021-12-27,52.62
ALK,2021-12-28,52.9
ALK,2021-12-29,52.14
ALK,2021-12-30,51.94
ALL,2021-12-16,115.82
ALL,2021-12-17,114.14
ALL,2021-12-20,112.31
ALL,2021-12-21,113.32
ALL,2021-12-22,113.42
ALL,2021-12-23,114.13
ALL,2021-12-27,116.08
ALL,2021-12-28,117.09
ALL,2021-12-29,117.95
ALL,2021-12-30,117.68
ALLE,2021-12-16,131.26
ALLE,2021-12-17,127.89
ALLE,2021-12-20,124.25
ALLE,2021-12-21,126.36
ALLE,2021-12-22,126.25
ALLE,2021-12-23,127.28
ALLE,2021-12-27,129.58
ALLE,2021-12-28,131.06
ALLE,2021-12-29,132.37
ALLE,2021-12-30,131.56
AMAT,2021-12-16,146.7
AMAT,2021-12-17,146.15
AMAT,2021-12-20,145.01
AMAT,2021-12-21,151.42
AMAT,2021-12-22,152.32
AMAT,2021-12-23,155.49
AMAT,2021-12-27,162.72
AMAT,2021-12-28,159.64
AMAT,2021-12-29,160.98
AMAT,2021-12-30,157.98
AMCR,2021-12-16,12.04
AMCR,2021-12-17,11.79
AMCR,2021-12-20,11.6
AMCR,2021-12-21,11.74
AMCR,2021-12-22,11.61
AMCR,2021-12-23,11.66
AMCR,2021-12-27,11.81
AMCR,2021-12-28,11.86
AMCR,2021-12-29,11.95
AMCR,2021-12-30,11.96
AMD,2021-12-16,138.64
AMD,2021-12-17,137.75
AMD,2021-12-20,135.8
AMD,2021-12-21,144.25
AMD,2021-12-22,143.88
AMD,2021-12-23,146.14
AMD,2021-12-27,154.36
AMD,2021-12-28,153.15
AMD,2021-12-29,148.26
AMD,2021-12-30,145.15
AME,2021-12-16,143.85
AME,2021-12-17,139.83
AME,2021-12-20,138.99
AME,2021-12-21,140.6
AME,2021-12-22,141.05
AME,2021-12-23,142.57
AME,2021-12-27,145.33
AME,2021-12-28,146.36
AME,2021-12-29,147.41
AME,2021-12-30,146.47
AMGN,2021-12-16,222.58
AMGN,2021-12-17,222.5
AMGN,2021-12-20,219.99
AMGN,2021-12-21,220.92
AMGN,2021-12-22,221.53
AMGN,2021-12-23,223.79
AMGN,2021-12-27,225.17
AMGN,2021-12-28,225.77
AMGN,2021-12-29,227.6
AMGN,2021-12-30,226.47
AMP,2021-12-16,300.23
AMP,2021-12-17,294.63
AMP,2021-12-20,283.82
AMP,2021-12-21,294.5
AMP,2021-12-22,298.69
AMP,2021-12-23,302.28
AMP,2021-12-27,307.39
AMP,2021-12-28,305.67
AMP,2021-12-29,305.41
AMP,2021-12-30,301.97
AMT,2021-12-16,278.089
AMT,2021-12-17,277.482
AMT,2021-12-20,277.084
AMT,2021-12-21,276.477
AMT,2021-12-22,279.86
AMT,2021-12-23,278.74
AMT,2021-12-27,285.76
AMT,2021-12-28,288.49
AMT,2021-12-29,288.88
AMT,2021-12-30,291.14
AMZN,2021-12-16,3377.42
AMZN,2021-12-17,3400.35
AMZN,2021-12-20,3341.58
AMZN,2021-12-21,3408.34
AMZN,2021-12-22,3420.74
AMZN,2021-12-23,3421.37
AMZN,2021-12-27,3393.39
AMZN,2021-12-28,3413.22
AMZN,2021-12-29,3384.02
AMZN,2021-12-30,3372.89
ANET,2021-12-16,130.14
ANET,2021-12-17,135.03
ANET,2021-12-20,134.33
ANET,2021-12-21,137.91
ANET,2021-12-22,139.53
ANET,2021-12-23,141.85
ANET,2021-12-27,146.84
ANET,2021-12-28,144.89
ANET,2021-12-29,145.71
ANET,2021-12-30,143.15
ANSS,2021-12-16,398.14
ANSS,2021-12-17,396.86
ANSS,2021-12-20,385.93
ANSS,2021-12-21,396.46
ANSS,2021-12-22,400.64
ANSS,2021-12-23,403.59
ANSS,2021-12-27,411.22
ANSS,2021-12-28,409.92
ANSS,2021-12-29,407.06
ANSS,2021-12-30,405.68
ANTM,2021-12-16,447.88
ANTM,2021-12-17,445.1
ANTM,2021-12-20,439.46
ANTM,2021-12-21,446.49
ANTM,2021-12-22,453.91
ANTM,2021-12-23,455.71
ANTM,2021-12-27,459.52
ANTM,2021-12-28,464.21
ANTM,2021-12-29,467.67
ANTM,2021-12-30,467.15
AON,2021-12-16,295.13
AON,2021-12-17,292.38
AON,2021-12-20,290.52
AON,2021-12-21,293.23
AON,2021-12-22,294.02
AON,2021-12-23,292.41
AON,2021-12-27,298.43
AON,2021-12-28,297.0
AON,2021-12-29,300.68
AON,2021-12-30,299.83
AOS,2021-12-16,83.78
AOS,2021-12-17,80.91
AOS,2021-12-20,79.27
AOS,2021-12-21,80.9
AOS,2021-12-22,81.6
AOS,2021-12-23,82.77
AOS,2021-12-27,84.7
AOS,2021-12-28,85.54
AOS,2021-12-29,85.81
AOS,2021-12-30,85.29
APA,2021-12-16,24.79
APA,2021-12-17,24.38
APA,2021-12-20,23.94
APA,2021-12-21,25.34
APA,2021-12-22,25.83
APA,2021-12-23,26.07
APA,2021-12-27,27.97
APA,2021-12-28,27.93
APA,2021-12-29,27.91
APA,2021-12-30,27.06
APD,2021-12-16,301.654
APD,2021-12-17,296.857
APD,2021-12-20,293.554
APD,2021-12-21,294.29
APD,2021-12-22,295.693
APD,2021-12-23,298.002
APD,2021-12-27,300.728
APD,2021-12-28,302.49
APD,2021-12-29,303.893
APD,2021-12-30,302.39
APH,2021-12-16,83.347
APH,2021-12-17,82.28
APH,2021-12-20,81.14
APH,2021-12-21,83.06
APH,2021-12-22,83.99
APH,2021-12-23,85.06
APH,2021-12-27,86.93
APH,2021-12-28,87.12
APH,2021-12-29,87.94
APH,2021-12-30,87.02
APTV,2021-12-16,162.16
APTV,2021-12-17,158.42
APTV,2021-12-20,153.36
APTV,2021-12-21,158.02
APTV,2021-12-22,160.82
APTV,2021-12-23,162.4
APTV,2021-12-27,163.45
APTV,2021-12-28,162.63
APTV,2021-12-29,163.21
APTV,2021-12-30,163.14
ARE,2021-12-16,215.456
ARE,2021-12-17,214.262
ARE,2021-12-20,214.004
ARE,2021-12-21,216.371
ARE,2021-12-22,218.043
ARE,2021-12-23,216.511
ARE,2021-12-27,218.968
ARE,2021-12-28,220.848
ARE,2021-12-29,222.42
ARE,2021-12-30,223.16
ATO,2021-12-16,100.35
ATO,2021-12-17,98.83
ATO,2021-12-20,99.33
ATO,2021-12-21,99.46
ATO,2021-12-22,102.12
ATO,2021-12-23,102.73
ATO,2021-12-27,104.06
ATO,2021-12-28,103.43
ATO,2021-12-29,104.83
ATO,2021-12-30,104.49
ATVI,2021-12-16,61.49
ATVI,2021-12-17,61.36
ATVI,2021-12-20,61.8
ATVI,2021-12-21,63.59
ATVI,2021-12-22,64.1
ATVI,2021-12-23,65.16
ATVI,2021-12-27,65.45
ATVI,2021-12-28,66.67
ATVI,2021-12-29,67.16
ATVI,2021-12-30,67.49
AVB,2021-12-16,244.362
AVB,2021-12-17,242.99
AVB,2021-12-20,240.029
AVB,2021-12-21,243.626
AVB,2021-12-22,245.624
AVB,2021-12-23,244.223
AVB,2021-12-27,248.128
AVB,2021-12-28,248.833
AVB,2021-12-29,250.96
AVB,2021-12-30,251.26
AVGO,2021-12-16,616.735
AVGO,2021-12-17,630.924
AVGO,2021-12-20,640.93
AVGO,2021-12-21,646.24
AVGO,2021-12-22,655.2
AVGO,2021-12-23,664.8
AVGO,2021-12-27,674.28
AVGO,2021-12-28,669.0
AVGO,2021-12-29,672.61
AVGO,2021-12-30,665.08
AVY,2021-12-16,210.87
AVY,2021-12-17,206.89
AVY,2021-12-20,202.38
AVY,2021-12-21,208.24
AVY,2021-12-22,207.15
AVY,2021-12-23,208.47
AVY,2021-12-27,212.5
AVY,2021-12-28,214.79
AVY,2021-12-29,217.11
AVY,2021-12-30,215.28
AWK,2021-12-16,182.93
AWK,2021-12-17,183.11
AWK,2021-12-20,182.62
AWK,2021-12-21,181.27
AWK,2021-12-22,183.37
AWK,2021-12-23,182.08
AWK,2021-12-27,183.58
AWK,2021-12-28,186.14
AWK,2021-12-29,187.39
AWK,2021-12-30,188.03
AXP,2021-12-16,163.0
AXP,2021-12-17,160.01
AXP,2021-12-20,155.89
AXP,2021-12-21,160.91
AXP,2021-12-22,162.47
AXP,2021-12-23,164.19
AXP,2021-12-27,164.39
AXP,2021-12-28,164.41
AXP,2021-12-29,163.83
AXP,2021-12-30,164.16
AZO,2021-12-16,2011.22
AZO,2021-12-17,1996.37
AZO,2021-12-20,1994.3
AZO,2021-12-21,1990.37
AZO,2021-12-22,2024.16
AZO,2021-12-23,2014.5
AZO,2021-12-27,2047.06
AZO,2021-12-28,2059.94
AZO,2021-12-29,2104.04
AZO,2021-12-30,2084.52
BA,2021-12-16,190.79
BA,2021-12-17,192.63
BA,2021-12-20,188.48
BA,2021-12-21,199.52
BA,2021-12-22,201.69
BA,2021-12-23,204.22
BA,2021-12-27,203.17
BA,2021-12-28,206.13
BA,2021-12-29,203.66
BA,2021-12-30,202.71
BAC,2021-12-16,45.0
BAC,2021-12-17,43.88
BAC,2021-12-20,43.16
BAC,2021-12-21,44.19
BAC,2021-12-22,44.28
BAC,2021-12-23,44.42
BAC,2021-12-27,44.64
BAC,2021-12-28,44.7
BAC,2021-12-29,44.63
BAC,2021-12-30,44.53
BAX,2021-12-16,83.91
BAX,2021-12-17,83.63
BAX,2021-12-20,82.51
BAX,2021-12-21,83.87
BAX,2021-12-22,85.32
BAX,2021-12-23,85.55
BAX,2021-12-27,86.6
BAX,2021-12-28,86.75
BAX,2021-12-29,87.19
BAX,2021-12-30,86.45
BBWI,2021-12-16,69.49
BBWI,2021-12-17,69.85
BBWI,2021-12-20,67.98
BBWI,2021-12-21,68.39
BBWI,2021-12-22,68.58
BBWI,2021-12-23,69.5
BBWI,2021-12-27,69.8
BBWI,2021-12-28,68.66
BBWI,2021-12-29,69.5
BBWI,2021-12-30,69.7
BBY,2021-12-16,100.22
BBY,2021-12-17,100.03
BBY,2021-12-20,95.77
BBY,2021-12-21,97.48
BBY,2021-12-22,97.37
BBY,2021-12-23,98.08
BBY,2021-12-27,99.08
BBY,2021-12-28,99.52
BBY,2021-12-29,100.86
BBY,2021-12-30,101.55
BDX,2021-12-16,257.21
BDX,2021-12-17,256.9
BDX,2021-12-20,252.41
BDX,2021-12-21,251.83
BDX,2021-12-22,247.84
BDX,2021-12-23,248.91
BDX,2021-12-27,251.32
BDX,2021-12-28,250.21
BDX,2021-12-29,252.79
BDX,2021-12-30,253.26
BEN,2021-12-16,33.867
BEN,2021-12-17,32.935
BEN,2021-12-20,31.865
BEN,2021-12-21,32.638
BEN,2021-12-22,32.588
BEN,2021-12-23,33.134
BEN,2021-12-27,33.758
BEN,2021-12-28,33.768
BEN,2021-12-29,33.56
BEN,2021-12-30,33.44
BIIB,2021-12-16,235.52
BIIB,2021-12-17,237.43
BIIB,2021-12-20,236.96
BIIB,2021-12-21,234.65
BIIB,2021-12-22,234.48
BIIB,2021-12-23,235.41
BIIB,2021-12-27,234.19
BIIB,2021-12-28,235.99
BIIB,2021-12-29,258.31
BIIB,2021-12-30,240.0
BIO,2021-12-16,734.34
BIO,2021-12-17,731.46
BIO,2021-12-20,728.57
BIO,2021-12-21,739.91
BIO,2021-12-22,743.83
BIO,2021-12-23,746.26
BIO,2021-12-27,764.32
BIO,2021-12-28,747.76
BIO,2021-12-29,750.74
BIO,2021-12-30,758.65
BK,2021-12-16,58.42
BK,2021-12-17,57.5
BK,2021-12-20,56.48
BK,2021-12-21,57.89
BK,2021-12-22,57.91
BK,2021-12-23,58.11
BK,2021-12-27,58.52
BK,2021-12-28,58.46
BK,2021-12-29,58.37
BK,2021-12-30,57.97
BKNG,2021-12-16,2164.91
BKNG,2021-12-17,2210.46
BKNG,2021-12-20,2208.75
BKNG,2021-12-21,2365.75
BKNG,2021-12-22,2385.18
BKNG,2021-12-23,2402.25
BKNG,2021-12-27,2394.51
BKNG,2021-12-28,2386.91
BKNG,2021-12-29,2384.68
BKNG,2021-12-30,2395.92
BKR,2021-12-16,24.27
BKR,2021-12-17,23.68
BKR,2021-12-20,23.07
BKR,2021-12-21,23.79
BKR,2021-12-22,23.92
BKR,2021-12-23,24.22
BKR,2021-12-27,24.62
BKR,2021-12-28,24.58
BKR,2021-12-29,24.27
BKR,2021-12-30,23.95
BLK,2021-12-16,921.55
BLK,2021-12-17,913.57
BLK,2021-12-20,897.29
BLK,2021-12-21,910.87
BLK,2021-12-22,911.54
BLK,2021-12-23,913.92
BLK,2021-12-27,922.57
BLK,2021-12-28,921.82
BLK,2021-12-29,909.72
BLK,2021-12-30,913.76
BLL,2021-12-16,92.34
BLL,2021-12-17,92.79
BLL,2021-12-20,90.0
BLL,2021-12-21,89.99
BLL,2021-12-22,90.03
BLL,2021-12-23,90.0
BLL,2021-12-27,91.92
BLL,2021-12-28,94.3
BLL,2021-12-29,95.23
BLL,2021-12-30,95.45
BMY,2021-12-16,62.17
BMY,2021-12-17,61.56
BMY,2021-12-20,61.72
BMY,2021-12-21,61.45
BMY,2021-12-22,62.1
BMY,2021-12-23,62.05
BMY,2021-12-27,62.29
BMY,2021-12-28,62.35
BMY,2021-12-29,62.29
BMY,2021-12-30,62.52
BR,2021-12-16,180.06
BR,2021-12-17,175.79
BR,2021-12-20,171.86
BR,2021-12-21,175.07
BR,2021-12-22,179.27
BR,2021-12-23,180.29
BR,2021-12-27,184.48
BR,2021-12-28,183.96
BR,2021-12-29,183.21
BR,2021-12-30,182.87
BRO,2021-12-16,67.24
BRO,2021-12-17,65.87
BRO,2021-12-20,65.95
BRO,2021-12-21,66.49
BRO,2021-12-22,67.57
BRO,2021-12-23,68.03
BRO,2021-12-27,69.46
BRO,2021-12-28,69.34
BRO,2021-12-29,69.83
BRO,2021-12-30,69.81
BSX,2021-12-16,40.43
BSX,2021-12-17,40.86
BSX,2021-12-20,39.5
BSX,2021-12-21,41.11
BSX,2021-12-22,42.16
BSX,2021-12-23,42.72
BSX,2021-12-27,43.12
BSX,2021-12-28,43.24
BSX,2021-12-29,43.17
BSX,2021-12-30,42.99
BWA,2021-12-16,44.22
BWA,2021-12-17,43.63
BWA,2021-12-20,41.96
BWA,2021-12-21,42.87
BWA,2021-12-22,43.04
BWA,2021-12-23,43.62
BWA,2021-12-27,44.34
BWA,2021-12-28,44.91
BWA,2021-12-29,44.87
BWA,2021-12-30,44.82
BXP,2021-12-16,113.053
BXP,2021-12-17,113.232
BXP,2021-12-20,110.376
BXP,2021-12-21,113.827
BXP,2021-12-22,113.698
BXP,2021-12-23,113.291
BXP,2021-12-27,114.917
BXP,2021-12-28,114.332
BXP,2021-12-29,114.6
BXP,2021-12-30,115.72
C,2021-12-16,61.07
C,2021-12-17,59.54
C,2021-12-20,58.28
C,2021-12-21,59.38
C,2021-12-22,59.6
C,2021-12-23,60.21
C,2021-12-27,60.65
C,2021-12-28,60.62
C,2021-12-29,60.54
C,2021-12-30,60.43
CAG,2021-12-16,34.4
CAG,2021-12-17,34.58
CAG,2021-12-20,34.32
CAG,2021-12-21,33.83
CAG,2021-12-22,33.46
CAG,2021-12-23,33.33
CAG,2021-12-27,33.42
CAG,2021-12-28,33.94
CAG,2021-12-29,33.88
CAG,2021-12-30,33.88
CAH,2021-12-16,48.975
CAH,2021-12-17,49.183
CAH,2021-12-20,48.668
CAH,2021-12-21,49.252
CAH,2021-12-22,49.708
CAH,2021-12-23,50.272
CAH,2021-12-27,50.877
CAH,2021-12-28,51.233
CAH,2021-12-29,51.56
CAH,2021-12-30,51.679
CARR,2021-12-16,53.715
CARR,2021-12-17,52.11
CARR,2021-12-20,50.764
CARR,2021-12-21,51.98
CARR,2021-12-22,52.52
CARR,2021-12-23,52.82
CARR,2021-12-27,53.53
CARR,2021-12-28,53.48
CARR,2021-12-29,53.74
CARR,2021-12-30,53.55
CAT,2021-12-16,206.17
CAT,2021-12-17,201.37
CAT,2021-12-20,195.46
CAT,2021-12-21,198.31
CAT,2021-12-22,202.15
CAT,2021-12-23,206.2
CAT,2021-12-27,206.38
CAT,2021-12-28,206.62
CAT,2021-12-29,207.33
CAT,2021-12-30,206.08
CB,2021-12-16,195.86
CB,2021-12-17,189.77
CB,2021-12-20,185.77
CB,2021-12-21,187.24
CB,2021-12-22,188.38
CB,2021-12-23,190.64
CB,2021-12-27,193.48
CB,2021-12-28,193.43
CB,2021-12-29,194.36
CB,2021-12-30,193.11
CBOE,2021-12-16,132.05
CBOE,2021-12-17,128.25
CBOE,2021-12-20,125.97
CBOE,2021-12-21,125.92
CBOE,2021-12-22,129.19
CBOE,2021-12-23,129.0
CBOE,2021-12-27,129.8
CBOE,2021-12-28,130.17
CBOE,2021-12-29,129.0
CBOE,2021-12-30,129.26
CBRE,2021-12-16,105.92
CBRE,2021-12-17,101.75
CBRE,2021-12-20,98.95
CBRE,2021-12-21,103.27
CBRE,2021-12-22,105.48
CBRE,2021-12-23,105.82
CBRE,2021-12-27,107.79
CBRE,2021-12-28,107.72
CBRE,2021-12-29,108.58
CBRE,2021-12-30,108.51
CCI,2021-12-16,200.47
CCI,2021-12-17,201.34
CCI,2021-12-20,202.13
CCI,2021-12-21,198.58
CCI,2021-12-22,199.58
CCI,2021-12-23,199.39
CCI,2021-12-27,204.75
CCI,2021-12-28,206.3
CCI,2021-12-29,207.3
CCI,2021-12-30,207.92
CCL,2021-12-16,17.57
CCL,2021-12-17,18.28
CCL,2021-12-20,18.9
CCL,2021-12-21,20.54
CCL,2021-12-22,21.25
CCL,2021-12-23,21.2
CCL,2021-12-27,20.95
CCL,2021-12-28,20.9
CCL,2021-12-29,20.79
CCL,2021-12-30,20.53
CDAY,2021-12-16,100.27
CDAY,2021-12-17,101.85
CDAY,2021-12-20,98.17
CDAY,2021-12-21,102.0
CDAY,2021-12-22,102.48
CDAY,2021-12-23,103.89
CDAY,2021-12-27,106.27
CDAY,2021-12-28,105.26
CDAY,2021-12-29,105.17
CDAY,2021-12-30,104.68
CDNS,2021-12-16,179.62
CDNS,2021-12-17,179.15
CDNS,2021-12-20,177.32
CDNS,2021-12-21,183.03
CDNS,2021-12-22,186.56
CDNS,2021-12-23,187.48
CDNS,2021-12-27,191.65
CDNS,2021-12-28,190.08
CDNS,2021-12-29,189.93
CDNS,2021-12-30,188.25
CDW,2021-12-16,187.83
CDW,2021-12-17,190.07
CDW,2021-12-20,186.74
CDW,2021-12-21,193.3
CDW,2021-12-22,198.87
CDW,2021-12-23,202.76
CDW,2021-12-27,207.02
CDW,2021-12-28,205.6
CDW,2021-12-29,206.83
CDW,2021-12-30,203.97
CE,2021-12-16,163.08
CE,2021-12-17,159.23
CE,2021-12-20,155.9
CE,2021-12-21,158.54
CE,2021-12-22,159.47
CE,2021-12-23,161.32
CE,2021-12-27,163.83
CE,2021-12-28,165.48
CE,2021-12-29,167.08
CE,2021-12-30,166.13
CERN,2021-12-16,79.256
CERN,2021-12-17,89.506
CERN,2021-12-20,90.224
CERN,2021-12-21,90.403
CERN,2021-12-22,91.52
CERN,2021-12-23,91.84
CERN,2021-12-27,92.25
CERN,2021-12-28,93.0
CERN,2021-12-29,93.19
CERN,2021-12-30,93.14
CF,2021-12-16,64.31
CF,2021-12-17,64.81
CF,2021-12-20,64.14
CF,2021-12-21,68.59
CF,2021-12-22,71.73
CF,2021-12-23,72.3
CF,2021-12-27,73.86
CF,2021-12-28,74.32
CF,2021-12-29,73.76
CF,2021-12-30,71.88
CFG,2021-12-16,47.12
CFG,2021-12-17,45.46
CFG,2021-12-20,44.49
CFG,2021-12-21,45.83
CFG,2021-12-22,46.14
CFG,2021-12-23,46.63
CFG,2021-12-27,47.2
CFG,2021-12-28,47.3
CFG,2021-12-29,47.3
CFG,2021-12-30,47.27
CHD,2021-12-16,101.54
CHD,2021-12-17,98.09
CHD,2021-12-20,98.84
CHD,2021-12-21,98.4
CHD,2021-12-22,99.4
CHD,2021-12-23,99.53
CHD,2021-12-27,100.36
CHD,2021-12-28,100.18
CHD,2021-12-29,100.98
CHD,2021-12-30,101.42
CHRW,2021-12-16,104.39
CHRW,2021-12-17,101.37
CHRW,2021-12-20,100.75
CHRW,2021-12-21,101.72
CHRW,2021-12-22,101.29
CHRW,2021-12-23,102.45
CHRW,2021-12-27,104.48
CHRW,2021-12-28,106.13
CHRW,2021-12-29,107.42
CHRW,2021-12-30,107.09
CHTR,2021-12-16,631.58
CHTR,2021-12-17,650.0
CHTR,2021-12-20,646.76
